NomeProduto,Categoria,Preco,SexoCliente,Tamanho,EstacaoAno,CorProduto
JaquetaCouro,Jaquetas,354,F,44,Primavera,Branco
JaquetaCouro,Jaquetas,284,F,40,Primavera,Preto
JaquetaCouro,Jaquetas,291,F,44,Primavera,Rosa
JaquetaCouro,Jaquetas,109,F,38,Primavera,Branco
JaquetaCouro,Jaquetas,105,F,44,Primavera,Verde
JaquetaCouro,Jaquetas,187,F,44,Primavera,Amarelo
JaquetaCouro,Jaquetas,277,F,40,Primavera,Marrom
JaquetaCouro,Jaquetas,233,F,44,Primavera,Azul
JaquetaCouro,Jaquetas,127,F,42,Primavera,Branco
JaquetaCouro,Jaquetas,358,F,44,Primavera,Amarelo
JaquetaCouro,Jaquetas,284,F,38,Primavera,Branco
JaquetaCouro,Jaquetas,229,F,38,Primavera,Branco
JaquetaCouro,Jaquetas,289,F,44,Primavera,Azul
JaquetaCouro,Jaquetas,113,F,42,Primavera,Rosa
JaquetaCouro,Jaquetas,356,F,42,Primavera,Rosa
JaquetaCouro,Jaquetas,171,F,42,Primavera,Branco
JaquetaCouro,Jaquetas,132,F,44,Primavera,Rosa
JaquetaCouro,Jaquetas,134,F,44,Primavera,Marrom
JaquetaCouro,Jaquetas,366,F,38,Primavera,Preto
JaquetaCouro,Jaquetas,396,F,42,Primavera,Rosa
JaquetaCouro,Jaquetas,293,F,38,Primavera,Vermelho
JaquetaCouro,Jaquetas,133,F,44,Primavera,Branco
JaquetaCouro,Jaquetas,367,F,44,Primavera,Verde
JaquetaCouro,Jaquetas,214,F,44,Primavera,Verde
JaquetaCouro,Jaquetas,333,F,40,Primavera,Azul
JaquetaCouro,Jaquetas,157,F,40,Primavera,Rosa
JaquetaCouro,Jaquetas,139,F,44,Primavera,Azul
JaquetaCouro,Jaquetas,341,F,40,Primavera,Branco
JaquetaCouro,Jaquetas,176,F,42,Primavera,Rosa
JaquetaCouro,Jaquetas,251,F,44,Primavera,Amarelo
JaquetaCouro,Jaquetas,283,F,40,Primavera,Preto
JaquetaCouro,Jaquetas,333,F,42,Primavera,Rosa
JaquetaCouro,Jaquetas,312,F,38,Primavera,Amarelo
JaquetaCouro,Jaquetas,368,F,44,Primavera,Verde
JaquetaCouro,Jaquetas,113,F,40,Primavera,Branco
JaquetaCouro,Jaquetas,148,F,38,Primavera,Marrom
JaquetaCouro,Jaquetas,315,F,42,Primavera,Verde
JaquetaCouro,Jaquetas,252,F,42,Primavera,Preto
JaquetaCouro,Jaquetas,297,F,42,Primavera,Vermelho
JaquetaCouro,Jaquetas,352,F,42,Primavera,Preto
JaquetaCouro,Jaquetas,334,F,42,Primavera,Preto
JaquetaCouro,Jaquetas,114,F,40,Primavera,Azul
JaquetaCouro,Jaquetas,252,F,44,Primavera,Branco
JaquetaCouro,Jaquetas,393,F,40,Primavera,Verde
JaquetaCouro,Jaquetas,100,F,42,Primavera,Branco
JaquetaCouro,Jaquetas,108,F,44,Primavera,Azul
JaquetaCouro,Jaquetas,346,F,44,Primavera,Verde
JaquetaCouro,Jaquetas,213,F,44,Primavera,Vermelho
JaquetaCouro,Jaquetas,122,F,38,Primavera,Branco
JaquetaCouro,Jaquetas,194,F,40,Primavera,Azul
JaquetaCouro,Jaquetas,177,F,38,Primavera,Branco
JaquetaCouro,Jaquetas,151,F,38,Primavera,Preto
JaquetaCouro,Jaquetas,385,F,40,Primavera,Rosa
JaquetaCouro,Jaquetas,305,F,40,Primavera,Branco
JaquetaCouro,Jaquetas,137,F,38,Primavera,Azul
JaquetaCouro,Jaquetas,129,F,38,Primavera,Azul
